question,row_number
"ทีม Operations ของฟ้าใหม่ (FahMai) สังเกตว่าในช่วงวันที่ 2024-08-22 ถึง 2024-08-24 มี shipment เลื่อน/ล่าช้าหลายรายการ ซึ่งสะท้อนใน internal chat thread ของฝั่งโลจิสติกส์ใน LINE WORKS. ทีมต้องการประเมินว่าควรจะนับช่วงนี้รวมในการคำนวณ on-time-rate เชิง operations หรือไม่ จึงขอให้คุณช่วยตอบ 3 ข้อนี้ครับ โดยอ้างอิงจากข้อมูล public/ เท่านั้น: (1) จาก internal chat thread ของช่วง 2024-08-22 ถึง 2024-08-24 (LINE WORKS) สาเหตุที่ทีม Logistics แจ้งว่าทำให้ delivery บางส่วนล่าช้าคืออะไร และสาเหตุนั้นเป็น 'internal' (จากฝั่ง FahMai เอง) หรือ 'external' (จากฝั่ง carrier/ผู้ขนส่ง) ขอคำตอบเป็นวลีสั้น ๆ พร้อมระบุประเภท internal/external; (2) จาก FACT_SHIPPING (รวมตลอดทั้งตาราง) และ DIM_VENDOR ใครคือ carrier (vendor) ที่รับผิดชอบการขนส่งของ FahMai ในช่วงนี้ ระบุทั้ง vendor_id และ ชื่อ vendor (name_en); และ (3) ในช่วงวันที่ 2024-08-22 ถึง 2024-08-24 (รวม 3 วัน, ตาม business_event_date) FACT_SHIPPING มี shipment ทั้งหมดกี่แถวที่ vendor_id ตรงกับ carrier ที่ระบุในข้อ (2)",62
ในช่วงประมาณวันที่ 2025-04-15 ถึง 2025-05-12 (28 วัน) ตัวเลขยอดขายของฟ้าใหม่ลดลงเมื่อเทียบกับ 28 วันก่อนหน้า (2025-03-18 ถึง 2025-04-14) ขอให้ตอบ 3 ข้อนี้ครับ: (1) สาเหตุที่ยอดขายตกในช่วงนี้คือฝั่งอุปสงค์ (demand-driven ลูกค้าซื้อน้อยลง) หรือฝั่งอุปทาน (supply-driven สินค้าไม่พร้อมส่ง)? และเหตุผลที่ระบุไว้ใน chat หรือ note ภายในคืออะไร (2) มี LINE WORKS thread ภายในกี่ thread ที่ทีม Ops กับ CS แลกเปลี่ยนเรื่องเดียวกันนี้ในช่วง 28 วันนี้ (3) ทาง CS ใช้สถานะเดียวกันนี้แจ้งลูกค้าผ่าน LINE OA กี่ thread ในช่วงเวลาเดียวกัน,63
"ฝ่าย Audit & Compliance ขอตรวจ refund ที่ผู้อนุมัติเป็น 'ระดับหน้างาน' (position_level='IC') ไม่ใช่ระดับ Manager ขึ้นไป โดยใช้ DIM_EMPLOYEE + FACT_REFUND_PAID + LINE WORKS thread ภายในใน public/docs/chat_line_works/ ตลอดช่วงข้อมูลปี 2024-2025 ขอให้ตอบ 4 ข้อนี้ครับ: (1) ใน FACT_REFUND_PAID ทั้งหมด มี refund กี่รายการที่ approver_employee_id เป็นพนักงานระดับ IC (position_level='IC') และไม่มี cosig_employee_id (co-signer ว่าง), (2) มูลค่ารวมของ refund เหล่านั้น (sum ของ refund_amount_thb) เท่ากับเท่าไหร่บาท, (3) ผู้อนุมัติ refund ในข้อ (1) คือใคร ระบุ employee_id + first_name + last_name + position_title + dept_code, และ (4) ใน LINE WORKS thread ภายในของทีม CS ที่อ้างถึงเคส refund เหล่านี้ ทีมระบุชื่อขั้นตอน (process) ที่ใช้อนุมัติว่าอะไร ตอบตามวลีที่ปรากฏใน chat",64
"ฝ่าย Internal Audit ขอตรวจ refund ที่ผู้อนุมัติเป็นพนักงานระดับ Manager แต่ ""ไม่ได้สังกัดฝ่าย Finance"" (position_level='Manager' AND dept_code!= 'FIN') โดยใช้ DIM_EMPLOYEE + FACT_REFUND_PAID + LINE WORKS thread ภายในใน public/docs/chat_line_works/ ตลอดช่วงข้อมูลปี 2024-2025 ขอให้ตอบ 4 ข้อนี้ครับ: (1) ใน FACT_REFUND_PAID ทั้งหมด มี refund กี่รายการที่ approver_employee_id เป็นพนักงานระดับ Manager ที่อยู่นอกฝ่าย FIN และ cosig_employee_id ว่าง, (2) มูลค่ารวมของ refund เหล่านั้น (sum ของ refund_amount_thb) เท่ากับเท่าไหร่บาท, (3) ผู้อนุมัติ refund ในข้อ (1) คือใคร ระบุ employee_id + first_name + last_name + position_title + dept_code, และ (4) ใน LINE WORKS thread ภายในที่อ้างถึงเคส refund เหล่านี้ ทีมระบุชื่อ ""อำนาจ"" หรือ ""ขั้นตอน"" ที่ใช้อนุมัติว่าอะไร ตอบตามวลีที่ปรากฏใน chat (ทั้งภาษาไทยและภาษาอังกฤษที่พบ)",65
"ขอช่วยตรวจ ROI ของแคมเปญ SF-LAUNCH-2568 (โปรโมชั่นเปิดตัว SF-Galaxy-Pro-2568 ช่วง 2025-07-15 ถึง 2025-07-31) ให้หน่อยครับ ตามที่ทีม Finance สงสัย: app-side redemption log ดูเหมือนจะมี double-logging อยู่บางรายการ เลยอยากให้ช่วยรายงานเป็น 5 ตัวเลขดังนี้ (1) จำนวน redemption ทั้งหมดที่บันทึกใน FACT_PROMO_REDEMPTION ภายใต้ campaign นี้, (2) จำนวน redemption ที่เป็น duplicate (phantom มี txn_id เดียวกันบันทึกหลายครั้งภายใต้ channel ต่างกัน), (3) จำนวน redemption ที่ unique จริงหลังหัก phantom, (4) net discount cost (THB) ที่ตรงกับ POS truth คือ FACT_SALES.discount_total_thb ของ cohort ลูกค้าที่ redeem, และ (5) net revenue (THB) ของ cohort ตาม FACT_SALES.net_total_thb แล้ว ROI = revenue / cost ออกมาเป็นกี่เท่า รบกวนชี้ด้วยว่า reconciliation กับ FACT_BANK_TRANSACTION ของ vendor PayWise (V-013) ในเดือน 2025-07 ยืนยันได้ไหมว่า phantom redemption ไม่มี cash flow ออกจริง",66
"ทีม Finance Audit ได้รับ flag จาก LINE WORKS ของวันที่ 2025-04-05 และวันที่ 2025-09-10 ว่ามี duplicate vendor invoice ID ฝั่ง V-013 (PayWise) หลัง schema cutover ขอให้ช่วยทำ bitemporal reconciliation เป็น 7 ส่วนดังนี้ครับ (1) invoice ID ที่ซ้ำคืออะไร, (2) มีกี่ payment record (กี่แถวใน FACT_VENDOR_PAYMENT) ที่ใช้ invoice ID เดียวกันนี้ และ payment_id ของแต่ละแถวคืออะไร, (3) สำหรับแต่ละ payment row ให้ระบุ paid_amount_thb และ business_event_date / posting_date, (4) สำหรับแต่ละ payment row ให้ resolve ว่า contract version (V-013 vXX) ใดที่ active อยู่ ณ business_event_date ของ row นั้น (อ้างอิง DIM_VENDOR_CONTRACT_VERSION) และ amendment_summary ของ version นั้นว่าอะไร, (5) หลังจาก apply contract-version-aware dedupe logic (กล่าวคือ: ถ้า 2 row อ้างถึง invoice instance เดียวกันภายใต้ contract regime เดียวกัน นับเป็น 1; ถ้าอ้างถึงงวด invoice ต่างกันภายใต้ regime ต่างกัน นับเป็น 2 instance อิสระ) จำนวน distinct payment instance ที่เหลือหลัง dedupe คือเท่าไหร่, (6) total cash outflow ที่ FahMai จ่ายจริงให้ V-013 ภายใต้ invoice ID นี้ (ผลรวม paid_amount ของทุกแถว) และให้ cross-check กับ FACT_BANK_TRANSACTION ว่าจำนวนเงินตรงกับ withdrawal entry ที่ผูก vendor=V-013 ในวันเดียวกันหรือไม่, (7) สรุป true over-payment คือเท่าไหร่ (กล่าวคือ จำนวนเงินที่ FahMai จ่ายเกินจากที่ตามสัญญา contract regime ของแต่ละ row ควรจะจ่าย) เป็น 0 บาท หรือไม่เป็น 0 ถ้าไม่เป็น 0 ให้ระบุจำนวนและเหตุผล",67
"ทีม Finance ขอให้ช่วยทำ end-to-end reconciliation ของ NovaTech Powercell X3 laptop recall (NT-LT-001) ที่เกิดขึ้นช่วงปลายปี 2025 โดยอ้างอิงเฉพาะสิ่งที่ปรากฏใน data lake (DIM_PRODUCT, dim_product_recall_history, DIM_POLICY_VERSION, FACT_RETURN, FACT_REFUND_PAID, FACT_BANK_TRANSACTION, FACT_WARRANTY_CLAIM, FACT_VENDOR_PAYMENT) โดยตอบเป็น 6 ส่วนดังนี้ (1) ช่วงเวลา recall ของ SKU นี้คืออะไร (recall_status ใน dim_product_recall_history เปลี่ยนจาก normal → active เมื่อไหร่ และ active → completed เมื่อไหร่), (2) จำนวน vendor-recall returns ของ NT-LT-001 ในช่วงดังกล่าวมีกี่รายการ และยอดรวม refund ที่ FahMai จ่ายให้ลูกค้า (FACT_REFUND_PAID ที่ผูกกับ return เหล่านี้) คือเท่าไหร่บาท, (3) DIM_POLICY_VERSION มี policy ใดที่ active อยู่ตั้งแต่ 2025-06-01 ที่ระบุ warranty_routing destination destination ตามนโยบายฉบับนั้นคืออะไร และผู้รับผิดชอบในการรับเคลม warranty ของ NT-LT-001 ในช่วงปกติ (เช่น claims ที่ posted ระหว่าง 2025-07-08 ถึง 2025-09-09 ก่อน recall) ควรถูก route ไปที่ใด (อ้างอิง FACT_WARRANTY_CLAIM.routing_destination), (4) ในช่วง recall window (2025-09-10 ถึง 2025-10-15) refund จริงที่จ่ายให้ลูกค้า (FACT_REFUND_PAID + FACT_BANK_TRANSACTION KBANK-OPER withdrawals) ออกจากบัญชีของฝั่งใด FahMai หรือ NovaTech (V-002) และยอดรวม cash outflow ที่ KBANK-OPER เห็นจาก recall lane นี้คือเท่าไหร่บาท, (5) ใน FACT_BANK_TRANSACTION ตลอดทั้งบัญชี มี deposit transaction ใดจาก vendor V-002 ที่เป็น cost-recovery / reimbursement กลับมาเข้าบัญชีของ FahMai เพื่อชดเชย refund payouts ใน recall lane นี้หรือไม่ ถ้ามี เป็นจำนวนเท่าไหร่ ถ้าไม่มี ให้ระบุว่าไม่พบในข้อมูล, (6) จากข้อ (4) และ (5) FahMai net cost ของ recall นี้ (refund outflow ลบด้วย vendor reimbursement) สามารถคำนวณเป็นตัวเลขที่แน่นอนได้จากข้อมูลที่ระบบมีหรือไม่ ถ้าได้ ให้คำนวณ ถ้าไม่ได้ ให้อธิบายว่าทำไมไม่สามารถยืนยันตัวเลขสุดท้ายได้",68
"สาขา BKK-PKT (FahMai Phuket Road) มียอดขายเดือนเมษายน 2568 ที่ดูเหมือนหายไปอย่างมากเมื่อเทียบกับเดือนข้างเคียง (มีนาคม/พฤษภาคม 2568) ลูกค้าระดับ executive อยากเข้าใจ root cause ก่อนตัดสินใจเรื่อง capex Q3 ที่จะมีการขออนุมัติเพิ่ม. ขอให้ทำ decomposition ของ April 2025 BKK-PKT sales dip ออกมาเป็น 6-tuple ดังนี้: (1) baseline ยอดขายต่อ operating-day ของ BKK-PKT (ใช้ค่าเฉลี่ยจาก March + May 2025 เป็น flanking baseline, หน่วย THB/op-day, ปัดเป็นหลักพัน), (2) observed gross sales จริงของ BKK-PKT เดือนเมษายน 2025 ทั้งเดือน (THB), (3) จำนวน operating days ที่หายไปในเดือนเมษายน (calendar = 30 days), (4) THB contribution ของช่วงปิดสาขาเฉพาะ BKK-PKT ที่ไม่ได้มีผลกับสาขาอื่น (i.e., ส่วนของ renovation/maintenance window ที่ส่งผลกระทบ unique กับ PKT), (5) THB contribution ของช่วงปิด network-wide ที่ส่งผลกับทุกสาขาที่เป็น physical store (i.e., ช่วงวันหยุดยาว Songkran), (6) THB contribution ของ supply-shortage ที่ V-005 component shortage (window 2025-04-15..05-12) ต่อยอดขาย April PKT note: คำนวณเฉพาะส่วนที่ overlap กับวันที่ BKK-PKT เปิดให้บริการในเดือนเมษายน. ใช้ flanking-month baseline (avg ของ March + May 2025 per-op-day) เป็น reference ที่สอดคล้องกับ Theory #3 (volume-down decomposition) แสดงค่าทั้ง 6 พร้อมหน่วย และอธิบายสั้นๆ ว่าทำไม factor ใดเป็น root cause หลัก",69
"CFO ของ FahMai กำลังเตรียม May 2025 board update และอยากเข้าใจ network-wide April 2025 sales gap ก่อนเข้าประชุม. April 2025 network gross sales อยู่ที่ ~224.5M THB เทียบกับ March 2025 ~280.6M THB (ลดลง ~20%) และ May 2025 recovery ที่ ~268.3M THB. ขอให้ทำ 4-tuple attribution ดังนี้: (1) Songkran-attributable network loss total THB ที่หายไปจากช่วงที่สาขา physical ทุกแห่งปิดพร้อมกัน 5 วันในเดือนเมษายน (ตรวจสอบจาก FACT_SALES ว่ามีช่วงไหนในเมษายน 2025 ที่ทุกสาขา physical-store มียอด 0 รายการพร้อมกัน DIM_DATE ของช่วงนั้นไม่ได้ระบุ holiday_name จึงต้อง infer จาก network-wide pattern); (2) BKK-PKT incremental closure loss THB ที่หายไปเฉพาะที่ BKK-PKT (สาขา FahMai Phuket Road, Bangkok) ที่ปิดต่อเนื่องเกินกว่า Songkran (i.e., ช่วง Apr 18 onwards ที่สาขาอื่นกลับมาเปิดแล้วแต่ BKK-PKT ยังปิด); (3) Combined event-attributable loss ผลรวมของ (1) + (2) ในหน่วย THB; (4) Demand-side test per-operational-day rate ของสาขา physical ทั้ง 9 แห่ง (ไม่นับ BKK-PKT, ไม่นับ REMOTE) ในช่วง April-open-days (i.e., excluding Songkran 5 วัน) เทียบกับ flanking-month per-op-day baseline (March 2025 + May 2025 ของสาขาเดียวกัน) ระบุว่ามาก/น้อยกว่าหรือเท่ากับ baseline และตัดสินว่าน่าจะมี demand-side weakening signal หรือไม่. ใช้ basket_total_thb เป็น revenue metric. Baseline = Mar+May per-branch aggregate per-op-day. ตอบเป็นตัวเลข THB พร้อม % comparison + คำตัดสิน demand-side yes/no.",70
"HR Director (คุณนาเร็ต) ขอ audit performance ของทีม CS หน่อยครับ โดยเฉพาะ CS-tier (position_level=IC, dept_code=SUP) ตัวแรก (sorted by employee_id) ของ FahMai ขอช่วยตรวจ FACT_REFUND_PAID ทุกแถวที่พนักงานคนนี้เป็น approver_employee_id แต่ไม่มี cosig_employee_id (NULL) แล้วเทียบกับ refund signing-authority ladder ที่มีผลบังคับ ณ วันที่ของแต่ละ refund (resolve per-row ที่ business_event_date, ไม่ใช่ at query date ใช้ DIM_POLICY_VERSION policy_class='signing_authority' + dim_signing_authority_ladder) เพื่อนับว่ามีกี่รายที่เกินเพดานการอนุมัติของตัวเอง (over-threshold without co-signer) รายงานเป็น 6-tuple ดังนี้: (1) employee_id ของคนที่ตรงตามนิยาม slot นี้, (2) จำนวน violation รายก่อน PM1 cutover (effective_date ของ signing_authority policy ก่อน 2025-02-15), (3) ผลรวมจำนวนเงิน THB ของ violation ก่อน-PM1, (4) จำนวน violation หลัง-PM1 (≥ 2025-02-15), (5) ผลรวม THB ของ violation หลัง-PM1, (6) ผลรวม THB ทั้งหมด (pre+post). ทั้งนี้สามารถ cross-check การจ่ายเงินจริงได้จาก FACT_BANK_TRANSACTION (related_entity_id link, KBANK-OPER account) และ memo ประกาศนโยบาย (MEMO-PM1-2025-02-15 + MEMO-PM-REFUND-2025-03-15) เพื่อยืนยัน boundary date. หมายเหตุ: agent ที่ใช้เพดาน ณ วันที่ query (ปัจจุบัน post-PM1) จะตอบผิดเพราะจะนับ pre-PM1 violations ไม่ครบ.",71
"เรากำลังเตรียม internal control audit ของบัญชี KBANK-OPER (central operating account) สำหรับช่วง 2024-10-01 ถึง 2025-06-30 และพบว่ามีกลุ่มรายการที่ดูเหมือนถูก flag ไว้ในระบบ ว่าเกี่ยวข้องกับ approval irregularity ของ Operations Manager (Ollie Logistics / EMP-L3-00008) บางรายการเป็น vendor payment ของ V-013 PayWise และบางรายการเป็น refund payout ให้ลูกค้า. ช่วยช่วยทำ taxonomy breakdown ของ violations กลุ่มนี้ให้หน่อย โดยแยกออกเป็น 3 categories ตามที่ระบบ flag ไว้ (1) missing co-signer, (2) wrong-tier (signed above ceiling), (3) late-signing (posting_date มาทีหลัง business_event_date) แล้วตอบทั้ง count และ total THB amount per category. กรุณาระบุด้วยว่ารวมทั้งหมดกี่รายการ และยอดรวมทั้งหมดเป็น THB เท่าไหร่ครับ.",72
"เรากำลังเตรียมเอกสารให้ผู้ตรวจสอบบัญชีภายนอกเรื่อง 'สัญญาณเปลี่ยนผ่านอำนาจอนุมัติ' ของช่วงต้นปี 2568 ขอช่วยตอบครบทุกข้อด้วยครับ:

(1) จาก DIM_EMPLOYEE ใครคือ 'Founder & CEO' และใครคือ 'Incoming CEO' (employee_id + ชื่อภาษาอังกฤษทั้ง first name + last name ของทั้งสองคน)?

(2) วันที่ใดที่ memo / minutes / email ภายในของบริษัทแจ้งเรื่องการเปลี่ยนผ่าน CEO อย่างเป็นทางการ (ระบุเป็น ISO date YYYY-MM-DD)?

(3) ระหว่างวันที่ 2024-01-01 ถึง 2025-12-31, DIM_SIGNING_AUTHORITY_LADDER (ผ่าน DIM_POLICY_VERSION) ถูกเปลี่ยนเวอร์ชันกี่ครั้ง (a single integer count of distinct ladder-version cutovers in this window)? และวันที่ของการเปลี่ยน (effective_date) คือวันอะไร?

(4) ใน FACT_REFUND_PAID, นับจำนวน refund rows ที่ business_event_date อยู่ก่อนวัน PM1 cutover (signing-authority ladder change) และจำนวนที่อยู่ตั้งแต่วัน PM1 cutover เป็นต้นไป (give both counts as integers, treating the cutover date as inclusive of post-window).

(5) FACT_VENDOR_PAYMENT มีแถวที่ใส่ EMP-L3-00001 ในช่อง cosig_employee_id ในวันที่ 2025-09-10 (8 เดือนหลังการประกาศเปลี่ยน CEO) นี่เป็นข้อมูล anachronistic / data-quality concern หรือไม่? อธิบายสั้นๆว่าทำไม flag (หรือไม่ flag) แถวนี้ออกมา

กรุณาตอบทุกข้อให้ครบ โดยอ้างอิงตามข้อมูลที่ปรากฏใน public data lake ของ FahMai เท่านั้น.",73
"ทีม Quality / Vendor-Management กำลังเตรียม case file สำหรับวงประชุม steering ของไตรมาส ขอ end-to-end ของ batch-defect cluster ที่แสดงตัวในช่วงเดือนเมษายน-พฤษภาคม 2568 (Q2 calendar 2025) เห็นชัดเฉพาะกับสินค้า WatchKit smartwatch (sku_id WK-SW-004) ที่สาขา FahMai Phuket Festival เท่านั้น. คำว่า 'HDY cluster' ปรากฏใน return_reason text เป็น narrative reference; the physically-observed branch_code ใน data lake คือ branch อื่น ไม่ใช่ HDY (ไม่มี branch_code HDY ใน DIM_BRANCH เลย) โปรดยึด branch_code จริงตามที่ FACT_RETURN บันทึก, ไม่ใช่ literal 'HDY' จาก reason string. ขอช่วยตอบทั้ง 7 ข้อโดยอ้างอิงเฉพาะข้อมูลใน public data lake:

(1) ระบุ branch_code (เป็น code ตามที่ปรากฏใน DIM_BRANCH) และ display name ภาษาอังกฤษ (name_en) ของสาขาที่ได้รับผลกระทบจริง.

(2) ระบุ sku_id, brand_family, category, และ MSRP (msrp_thb) ของสินค้าที่ได้รับผลกระทบ จาก DIM_PRODUCT.

(3) จำนวน batch-defect returns ในช่วง 2025-04-01 ถึง 2025-05-31 ที่ branch นี้สำหรับ SKU นี้ นับเฉพาะ rows ที่ return_reason CONTAINS 'hardware batch defect' (exclude customer_change_of_mind ที่บังเอิญตกในช่วงเดียวกัน) ตอบเป็นจำนวน integer.

(4) Baseline return-rate (returns/sales, %) ของ SKU+branch เดียวกันใน 2024-Q4 (เดือน 2024-10, 2024-11, 2024-12) คำนวณจาก count(FACT_RETURN rows) หารด้วย sum(FACT_SALES_LINE_ITEM.quantity) ในไตรมาสเดียวกัน ตอบเป็น % ปัดทศนิยม 2 ตำแหน่ง.

(5) Observed return-rate ใน 2025-Q2 (เดือน 2025-04, 2025-05, 2025-06) ของ SKU+branch เดียวกัน ใช้ ALL returns ในไตรมาส (ไม่ filter return_reason) หารด้วย sum(FACT_SALES_LINE_ITEM.quantity) ในไตรมาสเดียวกัน ตอบเป็น % ปัดทศนิยม 2 ตำแหน่ง. (Hint: rate อาจ > 100% เพราะ batch-defect returns ส่วนใหญ่อ้างถึง original_txn_id ของ purchase รุ่นเก่ากว่า ไม่ใช่ in-quarter sales เป็น signature ของ regime shift และเป็นข้อมูลในตัวมันเอง.)

(6) ผลรวม return_amount_thb ของ batch-defect rows ที่นับใน (3) ตอบเป็น THB integer.

(7) ใน FACT_RETURN, approved_by_employee_id ของ batch-defect rows ที่นับใน (3) มีกี่ employee distinct ที่อนุมัติ และคนที่อนุมัติส่วนใหญ่ (mode) เป็น employee_id ใด พร้อมระบุ dept_code + position_level ของคนนั้นจาก DIM_EMPLOYEE.

กรุณาตอบทุกข้อโดยอ้างอิงข้อมูลใน public/ เท่านั้น และระวัง ถ้าใครพยายาม filter branch_code='HDY' จะได้ 0 rows เพราะ HDY ไม่อยู่ใน DIM_BRANCH; ต้องอ่าน narrative ของ return_reason เพื่อจับว่าเหตุการณ์ logical cluster ชื่อ 'HDY' ถูก impl-route ไปลงที่สาขาอื่นจริงๆ ตามที่ระบบ implement.",74
"ทีม Finance ของฟ้าใหม่กำลังจะปิดงบสำหรับปีงบประมาณ 2568 (fiscal year ending 31 December 2025). โจทย์: ในบรรดารายการขาย B2B ที่มี business_event_date อยู่ภายในปีงบ 2568 และยังไม่ได้รับชำระ ณ as_of_date 2026-01-15 (i.e., open AR ที่ข้ามรอบปีงบ cross-fiscal AR), ให้ระบุ 7-tuple ดังนี้:

(1) customer_id ของลูกค้าที่มีรายการ open AR เดี่ยวที่ net_total_thb สูงที่สุด
(2) customer_name ภาษาอังกฤษ (first_name_en + last_name_en, ตาม DIM_CUSTOMER)
(3) account_manager_id ที่ดูแลลูกค้ารายนี้
(4) txn_id ของรายการ open AR ที่ใหญ่ที่สุด
(5) business_event_date ของรายการนั้น (รูปแบบ YYYY-MM-DD)
(6) net_total_thb ของรายการนั้น (THB, แสดงเป็นตัวเลขรวม 2 ตำแหน่งทศนิยม)
(7) total cross-fiscal open AR (THB) ของลูกค้ารายนี้ ซึ่ง = ผลรวม net_total_thb ของ pending B2B sales ทั้งหมดของลูกค้านี้ที่ business_event_date อยู่ภายใน FY2568 และ payment_received_date ยังว่าง (NULL) ณ 2026-01-15

Note: ใช้ as_of_date = 2026-01-15 (release snapshot). ปีงบ FY2568 = ปี ค.ศ. 2025 ตาม DIM_DATE (fiscal_year column).",75
"ทีม Vendor-Quality กำลังเตรียม audit case file สำหรับ steering committee ใน FACT_WARRANTY_CLAIM พบ cluster ของ claim ที่ผิดปกติ ที่ผูกกับ batch identifier ของ supplier V-004 (อยู่ใน text ของ claim_reason ในรูปแบบ 'vendor batch defect (...)' ตามด้วย sku reference). อยากให้ช่วยทำ end-to-end reconciliation จาก public data lake เท่านั้น และตอบเป็น 6 ส่วนดังนี้:

(1) **Batch identifier**: ระบุ literal string ของ batch id ที่ปรากฏในวงเล็บใน claim_reason ของ cluster นี้ ทุก row ใน cluster ใช้ batch_id เดียวกัน. (รูปแบบ: ตัวอักษร-ตัวเลข, มี dash, มี ค.ศ./พ.ศ.).

(2) **SKU + spec**: SKU ที่ได้รับผลกระทบทั้ง cluster (sku_id), brand_family, category, และ msrp_thb จาก DIM_PRODUCT ให้ตอบทุก field. (Hint: เป็น flagship monitor ของ FahMai's house brand DIM_PRODUCT.is_third_party = false; vendor_id ใน DIM_PRODUCT ของ row นี้ว่างเปล่า; warranty_months = 24.)

(3) **Cluster size + cost**: จำนวน claim rows ทั้งหมดใน cluster (filter: claim_reason CONTAINS the batch identifier from (1)) ตอบเป็น integer; รวมทั้ง sum ของ claim_amount_thb ของ rows ใน cluster เป็น THB integer. (Hint: claim_amount_thb ของ rows ใน cluster ถูกบันทึกเต็มจำนวน MSRP ในขณะที่ rows ที่มี claim_reason='defect' แบบทั่วไปสำหรับ SKU เดียวกัน มี claim_amount_thb เป็น empty/null เป็นสัญญาณว่า cluster นี้ถูก approve เป็น full refund เท่ากับ MSRP.)

(4) **Date window**: business_event_date ของ row แรกใน cluster (min) และ row สุดท้าย (max) ตอบเป็น YYYY-MM-DD ทั้งสอง. ระบุด้วยว่า cluster spans กี่เดือนปฏิทินเต็ม (calendar months containing ≥1 cluster row, นับ inclusive).

